Timeline,Start time,Duration,Row,Instance number,CROSSING,FIRST PHASE,OFFSIDE,PEN AREA ENTRY,POSSESSION THIRDS,SECOND PHASE,SHOOTING,TRANSITION,Ungrouped,Notes,Flags
LIVE,2202.607333333333,17.296000000000276,AWAY POSSESSION,53,,LBFB - LOSS,,,P-D3,,,,,,
LIVE,2242.173333333333,5.235000000000127,AWAY POSSESSION,54,,,,,,,,,,,
LIVE,2260.2343333333333,6.8729999999995925,AWAY POSSESSION,55,,,,,P-M3,,,,,,
LIVE,2324.295333333333,10.614000000000033,AWAY POSSESSION,56,,,,,P-M3,,,,,,
LIVE,2352.104333333333,13.829999999999927,AWAY POSSESSION,57,,LBFB - LOSS,,,P-D3,LBSB - WIN,,,,,
LIVE,2364.8213333333333,7.277999999999793,AWAY POSSESSION,58,,,,,P-M3,,,,,,
LIVE,2372.1653333333334,7.942999999999756,AWAY POSSESSION,59,,,,,P-M3,,,,,,
LIVE,2402.880333333333,7.537000000000262,AWAY POSSESSION,60,,,,,P-D3,,,,,,
LIVE,2416.4063333333334,3.717999999999847,AWAY POSSESSION,61,,,,,,,,,,,
LIVE,2418.246333333333,7.280999999999949,AWAY POSSESSION,62,,,,,,,,,,,
LIVE,2455.030333333333,30.40000000000009,AWAY POSSESSION,63,,,,,"P-D3, P-M3, P-F3",,,ATTACKING TRANSITION,,,
LIVE,2530.510333333333,21.86299999999983,AWAY POSSESSION,64,,LBFB - LOSS,,,P-D3,LBSB - LOSS,,,,,
LIVE,2565.2093333333332,6.219000000000051,AWAY POSSESSION,65,,,,,P-M3,,,,,,
LIVE,2683.0603333333333,8.448999999999614,AWAY POSSESSION,66,,,,,P-M3,,,,,,
LIVE,2703.1093333333333,8.63799999999992,AWAY POSSESSION,67,,,,,P-M3,,,,,,
LIVE,2747.806333333333,20.169000000000324,AWAY POSSESSION,68,,LBFB - WIN,,,P-D3,,,,,,
LIVE,2784.9083333333333,21.198999999999614,AWAY POSSESSION,69,,LBFB - WIN,,,P-D3,,,,,,
LIVE,2838.788333333333,14.321000000000367,AWAY POSSESSION,70,,,,,"P-D3, P-M3",,,,,,
LIVE,2865.250333333333,4.890000000000327,AWAY POSSESSION,71,,,,,P-M3,,,,,,
LIVE,2893.308333333333,18.402000000000044,AWAY POSSESSION,72,,LBFB - WIN,,,P-D3,LBSB - WIN,,,,,
LIVE,2929.9083333333333,8.559999999999945,AWAY POSSESSION,73,,,,,P-D3,,,,,,
LIVE,3112.1433333333334,10.563999999999396,AWAY POSSESSION,74,,LBFB - WIN,,,P-D3,LBSB - LOSS,,,,,
LIVE,3121.811333333333,6.095000000000255,AWAY POSSESSION,75,,,,,P-M3,,,,,,
LIVE,3166.4073333333336,10.203999999999724,AWAY POSSESSION,76,,LBFB - WIN,,,"P-D3, P-D3",,,,,,
LIVE,3192.700333333333,11.108000000000175,AWAY POSSESSION,77,,,,,"P-D3, P-D3",,,,,,
LIVE,3274.605333333333,20.85699999999997,AWAY POSSESSION,78,,LBFB - WIN,,,P-D3,,,,,,
LIVE,3300.2053333333333,12.405999999999949,AWAY POSSESSION,79,,LBFB - WIN,,,P-D3,,,ATTACKING TRANSITION,,,
