Timeline,Start time,Duration,Row,Instance number,ASSIST,ATTACKING THIRD,BUILD UP PROGRESSION,CROSS,CROSS ,Cross Destination,Cross Outcome,Cross Type,DEFENSIVE THIRD,Defending Actions,GOAL,Goalkeeper Actions,MIDDLE THIRD,OFFSIDE,Outcome,PASS INTO S2,PASS INTO S3,POSSESSION,POSSESSION END,Passing Destination,Passing Direction,REC IN S2,REC IN S3,REGAINS,REVIEW,SEAM THREE,SEAM TWO,SHOOTING,Seam Two Output,Shooting Heat Graph,Transition,Ungrouped,Notes,Flags,Opposition,Date
MD1 vs Samoa,5214.411267,24.5,HOME POSSESSION,85,,F3,,,,,,,,,,,,,,,,P-M3,,,,,,,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,5244.311267,4.5,HOME POSSESSION,86,,,,,,,,,,,,,,,,,,P-M3,,,,,,REGAINS,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,5248.811267,31.35,HOME POSSESSION,87,,F3,,,,,,,,,,,,,,,,P-M3,,,,,,,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,5329.1164,15.8,HOME POSSESSION,88,,F3,,,,,,,,,,,"M3, M3",,,,,P-M3,,,,,,,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,5348.5164,15.6,HOME POSSESSION,89,,F3,P-F3,,,,,,,,,,,,,,,P-M3,,,,,,,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,5364.1164,42.8,HOME POSSESSION,90,,F3,P-F3,,,,,,,,,,M3,,,,,P-M3,,,,,,,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,5460.066467,35.7189,HOME POSSESSION,91,,F3,,,,,,,,,,,M3,,,,,P-M3,,,,,,,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,5498.885367,46.25,HOME POSSESSION,92,,F3,P-F3,,,,,,,,,,M3,,,,,P-M3,,,,REC IN S2,,,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,5546.7527,13.26683333,HOME POSSESSION,93,,"F3, F3",P-F3,,,,,,,,,,,,,,,P-M3,,,,,,,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,5584.619533,20.1172,HOME POSSESSION,94,,,,,,,,,,,,,,,,,PASS INTO S3,P-M3,,,,,REC IN S3,REGAINS,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,5611.636733,17.00033333,HOME POSSESSION,95,,F3,P-F3,,,,,,,,,,,,,,,,,,,,,,,,,SHOT,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,5693.037067,24.65,HOME POSSESSION,96,,F3,P-F3,,,,,,,,,,,,,,,P-M3,,,,,,"REGAINS, REGAINS",,,,,,,Attacking Transition,,,,Samoa,27/02/2026
MD1 vs Samoa,5719.787067,5.667766667,HOME POSSESSION,97,,F3,P-F3,,,,,,,,,,,,,,,,,,,,,,,,,SHOT,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,5832.964333,10.9,HOME POSSESSION,98,,,,,,,,,,,,,M3,,,,,P-M3,,,,,,,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,5848.323546,1.6,HOME POSSESSION,99,,,,,,,,,,,,,,,,,,P-M3,,,,,,,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,5851.323546,20,HOME POSSESSION,100,,F3,,,,,,,,,,,,,,,,P-M3,,,,,,,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,5878.823546,25.1999876,HOME POSSESSION,101,,,P-F3,,,,,,,,,,,,,,,P-M3,,,,,,,,,,SHOT,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,5930.223533,2.4,HOME POSSESSION,102,,,,,,,,,,,,,M3,,,,,P-M3,,,,,,,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,5946.723533,9.5,HOME POSSESSION,103,,,,,,,,,,,,,M3,,,,,P-M3,,,,,,,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,5973.273533,4.634866667,HOME POSSESSION,104,,,,,,,,,,,,,,,,,,P-M3,,,,,,REGAINS,,,,,,,Attacking Transition,,,,Samoa,27/02/2026
MD1 vs Samoa,5977.7584,18.9,HOME POSSESSION,105,,,P-F3,,,,,,,,,,M3,,,PASS INTO S2,,P-M3,,,,REC IN S2,,REGAINS,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,6021.025667,23.7667,HOME POSSESSION,106,,F3,P-F3,,,,,,,,,,M3,,,,,P-M3,,,,,,REGAINS,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,6065.653967,12.78916667,HOME POSSESSION,107,,,P-F3,,,,,,,,,,M3,,,,PASS INTO S3,P-M3,,,,,REC IN S3,,,,,SHOT,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,6101.7083,19.1,HOME POSSESSION,108,,,,,,,,,,,,,M3,,,,,P-M3,,,,,,,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,6123.8083,4.2,HOME POSSESSION,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,6274.008367,15.90423333,HOME POSSESSION,110,,,,,,,,,,,,,,,,,,P-M3,,,,,,,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,6312.1627,71.35123333,HOME POSSESSION,111,,"F3, F3",P-F3,,,,,,,,,,,,,PASS INTO S2,PASS INTO S3,P-M3,,,,REC IN S2,REC IN S3,,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,6394.513933,20,HOME POSSESSION,112,,,,,,,,,,,,,,,,,,P-D3,,,,,,REGAINS,,,,,,,Attacking Transition,,,,Samoa,27/02/2026
MD1 vs Samoa,6414.513933,21.12494732,HOME POSSESSION,113,,F3,P-F3,,,,,,,,,,,,,,,P-M3,,,,,,,,,,,,,Attacking Transition,,,,Samoa,27/02/2026
MD1 vs Samoa,6504.173967,14.02,HOME POSSESSION,114,,,,,,,,,,,,,M3,,,,,P-M3,,,,,,,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,6528.917667,4.32,HOME POSSESSION,115,,,,,,,,,,,,,,,,,,P-M3,,,,,,REGAINS,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,6538.637667,49.27081171,HOME POSSESSION,116,,,P-F3,,,,,,,,,,,,,PASS INTO S2,,P-M3,,,,REC IN S2,,REGAINS,,,,SHOT,,,Attacking Transition,,,,Samoa,27/02/2026
MD1 vs Samoa,6614.902133,6.593333333,HOME POSSESSION,117,,,,,,,,,,,,,,,,,,,,,,REC IN S2,,REGAINS,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,6627.948337,16.05082963,HOME POSSESSION,118,,,P-F3,,,,,,,,,,M3,,,,,P-M3,,,,"REC IN S2, REC IN S2",,,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,6655.639167,35.76046667,HOME POSSESSION,119,,,,,,,,,,,,,M3,,,,PASS INTO S3,P-M3,,,,REC IN S2,REC IN S3,,,,,SHOT,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,6727.842088,20.79997846,HOME POSSESSION,120,,F3,,,,,,,,,,,,,,,,P-M3,,,,REC IN S2,,,,,,SHOT,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,6782.1394,21.8785,HOME POSSESSION,121,,F3,,,,,,,,,,,,,,,,P-M3,,,,,,,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,6818.3047,12.36,HOME POSSESSION,122,,,,,,,,,D3,,,,,,,,,P-D3,,,,,,REGAINS,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,6857.497144,37.699989,HOME POSSESSION,123,,F3,,,,,,,,,,,,,,PASS INTO S2,,P-D3,,,,REC IN S2,,,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,6937.7943,6.31,HOME POSSESSION,124,,,P-F3,,,,,,,,,,,,,,PASS INTO S3,P-M3,,,,,REC IN S3,REGAINS,,,,,,,Attacking Transition,,,,Samoa,27/02/2026
MD1 vs Samoa,6950.1043,17.64,HOME POSSESSION,125,,,,,,,,,,,,,,,,,,P-M3,,,,,,REGAINS,,,,SHOT,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,7143.794433,10.31,HOME POSSESSION,126,,,,,,,,,,,,,M3,,,,,P-M3,,,,,,,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,7158.424433,4.29,HOME POSSESSION,127,,,P-F3,,,,,,,,,,,,,,PASS INTO S3,P-M3,,,,,REC IN S3,REGAINS,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,7185.950733,26.44,HOME POSSESSION,128,,,P-F3,,,,,,,,,,M3,,,,,P-M3,,,,,,,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,7219.540733,0,HOME POSSESSION,129,,,P-F3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Samoa,27/02/2026
